"GCODE";"Ost";"Nord";"AWGN ID";"Parameter";"Messstation";"Gewässer";"Jahr";"Datum";"Tagesmittelwert";"Dimension"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"27.01.2024";"7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"28.01.2024";"6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"29.01.2024";"6,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"30.01.2024";"6,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"31.01.2024";"7,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.02.2024";"8,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.02.2024";"7,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.02.2024";"7,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.02.2024";"8,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.02.2024";"8,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.02.2024";"7,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.02.2024";"8,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.02.2024";"9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.02.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.02.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.02.2024";"8,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.02.2024";"8,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.02.2024";"8,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.02.2024";"8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.02.2024";"9,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.02.2024";"9,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"17.02.2024";"10,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"18.02.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"19.02.2024";"9,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"20.02.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"21.02.2024";"8,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"22.02.2024";"9,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"23.02.2024";"8,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"24.02.2024";"7,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"25.02.2024";"7,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"26.02.2024";"8,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"27.02.2024";"9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"28.02.2024";"8,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"29.02.2024";"8,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.03.2024";"8,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.03.2024";"8,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.03.2024";"9,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.03.2024";"9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.03.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.03.2024";"8,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.03.2024";"7,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.03.2024";"7,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.03.2024";"8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.03.2024";"8,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.03.2024";"9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.03.2024";"8,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.03.2024";"8,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.03.2024";"9,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.03.2024";"10";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.03.2024";"10,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"17.03.2024";"9,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"18.03.2024";"10,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"19.03.2024";"10,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"20.03.2024";"10,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"21.03.2024";"10,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"22.03.2024";"10,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"23.03.2024";"10,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"24.03.2024";"8,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"25.03.2024";"8,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"26.03.2024";"9,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"27.03.2024";"10";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"28.03.2024";"9,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"29.03.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"30.03.2024";"10,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"31.03.2024";"10,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.04.2024";"11";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.04.2024";"10,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.04.2024";"10,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.04.2024";"11,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.04.2024";"12,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.04.2024";"13,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.04.2024";"13,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.04.2024";"14,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.04.2024";"13,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.04.2024";"11,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.04.2024";"11,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.04.2024";"12,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.04.2024";"13,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.04.2024";"14,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.04.2024";"14";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.04.2024";"11,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"17.04.2024";"10,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"18.04.2024";"9,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"19.04.2024";"9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"20.04.2024";"8,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"21.04.2024";"8,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"22.04.2024";"8,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"23.04.2024";"8,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"24.04.2024";"8,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"25.04.2024";"8,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"26.04.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"27.04.2024";"11";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"28.04.2024";"11,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"29.04.2024";"12,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"30.04.2024";"13,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.05.2024";"14,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.05.2024";"14,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.05.2024";"12,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.05.2024";"12,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.05.2024";"13,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.05.2024";"13,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.05.2024";"13,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.05.2024";"12,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.05.2024";"13,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.05.2024";"13,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.05.2024";"14,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.05.2024";"15,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.05.2024";"16,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.05.2024";"16,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.05.2024";"15,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.05.2024";"15,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"17.05.2024";"13,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"18.05.2024";"12,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"19.05.2024";"12,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"20.05.2024";"13";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"21.05.2024";"13,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"22.05.2024";"13,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"23.05.2024";"13,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"24.05.2024";"13,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"25.05.2024";"13,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"26.05.2024";"13,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"27.05.2024";"13,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"28.05.2024";"14";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"29.05.2024";"13,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"30.05.2024";"13,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"31.05.2024";"13,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.06.2024";"13";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.06.2024";"13";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.06.2024";"12,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.06.2024";"12,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.06.2024";"12,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.06.2024";"13,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.06.2024";"13,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.06.2024";"13,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.06.2024";"14,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.06.2024";"13,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.06.2024";"13,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.06.2024";"12,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.06.2024";"13,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.06.2024";"13";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.06.2024";"14";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.06.2024";"14,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"17.06.2024";"14,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"18.06.2024";"15,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"19.06.2024";"16,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"20.06.2024";"16,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"21.06.2024";"16";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"22.06.2024";"15,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"23.06.2024";"15,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"24.06.2024";"16,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"25.06.2024";"17,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"26.06.2024";"17,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"27.06.2024";"17,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"28.06.2024";"17,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"29.06.2024";"17,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"30.06.2024";"17,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.07.2024";"16,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.07.2024";"15,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.07.2024";"15,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.07.2024";"15,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.07.2024";"15,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.07.2024";"16";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.07.2024";"16,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.07.2024";"16,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.07.2024";"17,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.07.2024";"17,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.07.2024";"18,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.07.2024";"18,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.07.2024";"17,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.07.2024";"15,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.07.2024";"16,5";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.07.2024";"17,3";"°C"
